,Unnamed: 0,Date & Time,User IP,Method,Url,Query String,Agent IP,Browser Type,OS,Url_Category,Agent_IP_Category,Login Type,HTTP Status,Test1,Win 32 Status,Sub Status,Cluster Names
121,2078,2015-03-01 00:08:58,118.244.228.205,GET,/wap/read.asp,chapterId=133751&comicId=12441,61.49.57.61,Mozilla,0,31,1225,1,200,0,64,183,4
122,2080,2015-03-01 00:08:58,118.244.228.205,GET,/wap/read.asp,chapterId=133751&comicId=12441,101.226.33.204,Mozilla,2,31,28,0,200,0,0,206,3
123,2085,2015-03-01 00:08:59,118.244.228.205,GET,/wap/init.asp,comicId=12441&chapterId=133751&_=1425168548986,61.49.57.61,Mozilla,0,21,1225,1,200,0,0,67,4
124,2086,2015-03-01 00:08:59,118.244.228.205,GET,/wap/lastread.asp,comicId=12441&chapterId=133751&_=1425168548987,61.49.57.61,Mozilla,0,23,1225,1,200,0,0,98,4
125,2087,2015-03-01 00:08:59,118.244.228.205,GET,/wap/load.asp,comicId=12441&chapterId=133751&imageId=0&_=1425168548988,61.49.57.61,Mozilla,0,26,1225,1,200,0,64,90,4
126,2104,2015-03-01 00:09:02,118.244.228.205,GET,/wap/prev.asp,comicId=12441&chapterId=133751&_=1425168548992,61.49.57.61,Mozilla,0,30,1225,1,200,0,64,78,4
127,2129,2015-03-01 00:09:05,118.244.228.205,GET,/wap/read.asp,chapterId=136583&comicId=12422,122.156.242.206,Mozilla,0,31,488,1,200,0,0,178,5
128,2133,2015-03-01 00:09:08,118.244.228.205,GET,/wap/init.asp,comicId=12422&chapterId=136583&_=1425168556085,122.156.242.206,Mozilla,0,21,488,1,200,0,0,152,5
129,2134,2015-03-01 00:09:08,118.244.228.205,GET,/wap/lastread.asp,comicId=12422&chapterId=136583&_=1425168556086,122.156.242.206,Mozilla,0,23,488,1,200,0,0,93,5
130,2135,2015-03-01 00:09:08,118.244.228.205,GET,/wap/load.asp,comicId=12422&chapterId=136583&imageId=0&_=1425168556087,122.156.242.206,Mozilla,0,26,488,1,200,0,0,125,5
131,2171,2015-03-01 00:09:16,118.244.228.205,GET,/wap/prev.asp,comicId=12422&chapterId=136583&_=1425168556091,122.156.242.206,Mozilla,0,30,488,1,200,0,0,98,5
132,2220,2015-03-01 00:09:28,118.244.228.205,GET,/wap/read.asp,chapterId=143257&comicId=12664,183.232.118.13,Mozilla,0,31,879,1,200,0,64,205,2
133,2231,2015-03-01 00:09:30,118.244.228.205,GET,/wap/lastread.asp,comicId=12664&chapterId=143257&_=1425168579978,183.232.118.13,Mozilla,0,23,879,1,200,0,64,119,2
134,2281,2015-03-01 00:09:45,118.244.228.205,GET,/wap/next.asp,comicId=12448&chapterId=133499&_=1425140222785,123.151.42.52,Mozilla,0,29,529,1,200,0,64,61,5
135,2302,2015-03-01 00:09:50,118.244.228.205,GET,/wap/info.asp,id=12397,111.161.61.49,Mozilla,0,20,147,1,200,0,64,118,3
136,2315,2015-03-01 00:09:54,118.244.228.205,GET,/wap/read.asp,chapterId=124515&comicId=12337,113.64.14.21,Mozilla,0,31,255,1,200,0,0,190,1
137,2318,2015-03-01 00:09:55,118.244.228.205,GET,/wap/init.asp,comicId=12337&chapterId=124515&_=1425168846765,113.64.14.21,Mozilla,0,21,255,1,200,0,0,115,1
138,2319,2015-03-01 00:09:55,118.244.228.205,GET,/wap/lastread.asp,comicId=12337&chapterId=124515&_=1425168846766,113.64.14.21,Mozilla,0,23,255,1,200,0,0,121,1
139,2320,2015-03-01 00:09:56,118.244.228.205,GET,/wap/load.asp,comicId=12337&chapterId=124515&imageId=1&_=1425168846768,113.64.14.21,Mozilla,0,26,255,1,200,0,0,98,1
140,2326,2015-03-01 00:09:57,118.244.228.205,GET,/wap/info.asp,id=12535,123.151.153.35,Mozilla,0,20,519,1,200,0,0,98,5
141,2334,2015-03-01 00:10:00,118.244.228.205,GET,/wap/read.asp,chapterId=131213&comicId=12397,111.161.61.49,Mozilla,0,31,147,1,200,0,64,133,3
142,2342,2015-03-01 00:10:03,118.244.228.205,GET,/wap/lastread.asp,comicId=12397&chapterId=131213&_=1425168612013,111.161.61.49,Mozilla,0,23,147,1,200,0,0,57,3
143,2343,2015-03-01 00:10:03,118.244.228.205,GET,/wap/init.asp,comicId=12397&chapterId=131213&_=1425168612012,111.161.61.49,Mozilla,0,21,147,1,200,0,0,58,3
144,2344,2015-03-01 00:10:03,118.244.228.205,GET,/wap/load.asp,comicId=12397&chapterId=131213&imageId=0&_=1425168612014,111.161.61.49,Mozilla,0,26,147,1,200,0,64,77,3
145,2360,2015-03-01 00:10:08,118.244.228.205,GET,/wap/info.asp,id=12337,113.64.14.21,Mozilla,0,20,255,1,200,0,0,144,1
146,2396,2015-03-01 00:10:15,118.244.228.205,GET,/wap/info.asp,id=12364,111.30.132.208,Mozilla,0,20,165,1,200,0,64,115,3
147,2420,2015-03-01 00:10:20,118.244.228.205,GET,/wap/info.asp,id=12337&page=11,129.82.193.145,Mozilla,0,20,597,1,200,0,0,599,5
148,2443,2015-03-01 00:10:26,118.244.228.205,GET,/wap/next.asp,comicId=12654&chapterId=142724&_=1425168315057,180.108.87.156,Mozilla,0,29,795,1,200,0,0,96,2
